date,close,volume,open,high,low
,,,,,
8/16/2019,1792.57,3054240,1792.89,1802.9082,1784.5496
8/15/2019,1776.12,3809948,1781.99,1788,1761.96
8/14/2019,1762.96,4893649,1793.01,1795.6514,1757.215
8/13/2019,1824.34,4075021,1783,1831.7429,1780
8/12/2019,1784.92,2905498,1795.99,1800.98,1777
8/9/2019,1807.58,2879770,1828.95,1831.091,1802.22
8/8/2019,1832.89,3701242,1806,1834.26,1798.11
8/7/2019,1793.4,4526884,1773.99,1798.93,1757
8/6/2019,1787.83,5070258,1792.23,1793.77,1753.4
8/5/2019,1765.13,6058212,1770.22,1788.6678,1748.78
8/2/2019,1823.24,4956225,1845.07,1846.3634,1808.02
8/1/2019,1855.32,4713311,1871.72,1897.92,1844.01
7/31/2019,1866.78,4470727,1898.11,1899.55,1849.44
7/30/2019,1898.53,2910888,1891.115,1909.89,1883.48
7/29/2019,1912.45,4493190,1930,1932.226,1890.54
7/26/2019,1943.05,4927143,1942,1950.895,1924.51
7/25/2019,1973.82,4136461,2001,2001.2,1972.72
7/24/2019,2000.81,2631300,1969.3,2001.3,1965.87
7/23/2019,1994.49,2703480,1995.99,1997.79,1973.13
7/22/2019,1985.63,2908111,1971.14,1989,1958.26
7/19/2019,1964.52,3185612,1991.21,1996,1962.2255
7/18/2019,1977.9,3504252,1980.01,1987.5,1951.55
7/17/2019,1992.03,2558809,2007.05,2012,1992.03
7/16/2019,2009.9,2618198,2010.58,2026.3196,2001.22
7/15/2019,2020.99,2981343,2021.4,2022.9,2001.55
7/12/2019,2011,2509297,2008.27,2017,2003.87
7/11/2019,2001.07,4317766,2025.62,2035.8,1995.3
7/10/2019,2017.41,4931902,1996.51,2024.94,1995.4
7/9/2019,1988.3,4345698,1947.8,1990.01,1943.475
7/8/2019,1952.32,2883371,1934.12,1956,1928.2532
7/5/2019,1942.91,2628359,1928.6,1945.9,1925.3
7/3/2019,1939,1690294,1935.89,1941.59,1930.5
7/2/2019,1934.31,2651299,1919.38,1934.79,1906.63
7/1/2019,1922.19,3203347,1922.98,1929.82,1914.66
6/28/2019,1893.63,3037358,1909.1,1912.94,1884
6/27/2019,1904.28,2141721,1902,1911.24,1898.04
6/26/2019,1897.83,2441910,1892.48,1903.8,1887.32
6/25/2019,1878.27,3012347,1911.84,1916.385,1872.42
6/24/2019,1913.9,2282969,1912.66,1916.86,1901.3
6/21/2019,1911.3,3933576,1916.1,1925.95,1907.58
6/20/2019,1918.19,3217153,1933.33,1935.2,1905.8
6/19/2019,1908.79,2895347,1907.84,1919.5807,1892.47
6/18/2019,1901.37,3895728,1901.35,1921.67,1899.79
6/17/2019,1886.03,2634342,1876.5,1895.688,1875.45
6/14/2019,1869.67,2851163,1864,1876,1859
6/13/2019,1870.3,2795810,1866.72,1883.09,1862.22
6/12/2019,1855.32,2678335,1853.98,1865,1844.38
6/11/2019,1863.7,4042694,1883.25,1893.7,1858
6/10/2019,1860.63,5371007,1822,1884.87,1818
6/7/2019,1804.03,4808246,1763.7,1806.2538,1759.49
6/6/2019,1754.36,3689272,1737.71,1760,1726.13
6/5/2019,1738.5,4239782,1749.6,1752,1715.2514
6/4/2019,1729.56,5679121,1699.24,1730.82,1680.89
6/3/2019,1692.69,9098708,1760.01,1766.29,1672
5/31/2019,1775.07,4618819,1790.01,1795.585,1772.7034
5/30/2019,1816.32,3146850,1825.49,1829.47,1807.825
5/29/2019,1819.19,4279025,1823.12,1830,1807.5327
5/28/2019,1836.43,3199965,1832.75,1849.2669,1827.35
5/24/2019,1823.28,3369673,1835.89,1841.76,1817.851
5/23/2019,1815.48,4424265,1836.59,1844,1804.2
5/22/2019,1859.68,2936601,1851.78,1871.485,1851
5/21/2019,1857.52,4005122,1874.79,1878.9999,1846
5/20/2019,1858.97,3798198,1852.69,1867.78,1835.54
5/17/2019,1869,4736618,1893.05,1910.53,1867.33
5/16/2019,1907.57,4707822,1885.94,1917.51,1882.29
