date,close,volume,open,high,low
,,,,,
8/16/2019,322.03,573548,323.52,327.89,319.26
8/15/2019,320.44,990467,320.74,324.865,315.49
8/14/2019,321,1249274,330.06,332.2,320.165
8/13/2019,341.2,576810,334.31,348.315,333.3344
8/12/2019,336.51,759225,345.91,345.91,332.68
8/9/2019,346.7,522708,351.49,353.3994,345
8/8/2019,353.04,588157,345.18,355.36,344.76
8/7/2019,343.68,756093,337.22,344.36,336.7
8/6/2019,340.28,688204,330.37,340.95,329
8/5/2019,330.14,728400,331.98,331.98,326.34
8/2/2019,337.02,811059,346.24,348.57,334.16
8/1/2019,345.51,683861,348.73,352.08,341.895
7/31/2019,349.25,521277,347.62,354,344.365
7/30/2019,348.63,579725,345.03,350.45,342.1516
7/29/2019,346.13,815667,352.67,353.195,341.4
7/26/2019,353.88,497649,355.72,356.045,349.56
7/25/2019,354.62,486877,353.73,359.74,352
7/24/2019,352.94,532145,351.99,353.17,348.75
7/23/2019,351.99,648404,354,354.11,349.98
7/22/2019,352.95,550264,357.79,359.8,351.09
7/19/2019,357,574627,365.19,367.01,356.45
7/18/2019,366.21,518659,363.55,368.72,363.55
7/17/2019,366.39,713716,361.52,368.83,361.52
7/16/2019,360.54,1409531,356.57,361.85,355.61
7/15/2019,355.68,741664,356.97,361.27,354.3001
7/12/2019,356.39,651431,348,357.275,347.27
7/11/2019,346.98,537158,348,349.95,346.155
7/10/2019,347.2,595659,349.38,349.91,342.78
7/9/2019,348.48,729058,351.2,353.19,347
7/8/2019,352.69,623014,343.61,353.08,343.61
7/5/2019,344.95,481437,343.33,348.49,343.33
7/3/2019,345.43,330025,343.65,346,341.21
7/2/2019,341.33,590555,340.76,345.78,338.25
7/1/2019,340.38,794018,350.55,353.76,339.88
6/28/2019,346.89,784345,345.94,347.38,343.89
6/27/2019,344.22,619539,346.5,347.425,339.5305
6/26/2019,344.82,561798,350.58,352.65,344.27
6/25/2019,348.69,640656,345,348.92,340.8745
6/24/2019,346.54,1684659,357.73,358.69,340.26
6/21/2019,355.81,730417,359.28,360.47,355.28
6/20/2019,358.34,743500,360.42,365.535,355.165
6/19/2019,357.84,564870,346.77,358.43,343.628
6/18/2019,347.21,617834,352.58,354.09,345.9
6/17/2019,350.19,605421,355.61,357.54,349.56
6/14/2019,354.62,905076,349.34,355.61,349.0271
6/13/2019,349.81,732345,344.62,350.2,343.6236
6/12/2019,342.82,480842,341.88,343.88,339.14
6/11/2019,340.01,431001,341.22,341.89,334.56
6/10/2019,337.05,561587,339.11,344.49,335.63
6/7/2019,338.16,567317,340.69,343.96,337.68
6/6/2019,340.33,590749,339.85,341.96,336.38
6/5/2019,337.48,577235,338.01,338.64,331.26
6/4/2019,335.53,773624,332.3,340.55,331.6
6/3/2019,330.6,1023700,333.89,337.36,327.85
5/31/2019,333.38,3198001,315.33,335.1263,304.04
5/30/2019,328.46,1317968,327.64,334.0253,321.18
5/29/2019,322.07,1033748,332.37,334.59,321.82
5/28/2019,334.85,1026708,336.22,338.5,333.01
5/24/2019,335.09,615107,338.81,340.84,330.43
5/23/2019,337.83,1026755,347.03,347.1398,336.07
5/22/2019,349.09,466345,351.8,354.62,348.89
5/21/2019,353.16,545642,348.61,354.54,347.9
5/20/2019,347.89,829220,340.5,348.31,339.0328
5/17/2019,342.45,573389,342.59,349.56,342.1
5/16/2019,343.24,512094,341.31,348.46,341.31
5/15/2019,340.7,677928,335.06,340.95,333.47
5/14/2019,335.32,949187,332.56,336.8,325.6186
5/13/2019,330.23,813465,337.21,338.98,328.34
5/10/2019,343.24,685578,347.01,347.01,337.01
5/9/2019,348.05,460598,344.52,349.13,343.28
5/8/2019,348.15,577399,341.82,350.55,340.03
5/7/2019,342.36,698072,344.29,347.31,338.8946
5/6/2019,346.68,712071,336.53,347.61,335.78
5/3/2019,341.96,728586,344.27,346.12,339.98
5/2/2019,343.68,875374,335.01,344.11,335.01
5/1/2019,334.94,1151636,347.81,348.33,334.65
4/30/2019,348.98,736645,351.12,352.16,346.99
4/29/2019,350.9,578482,356.97,357.895,350.65
4/26/2019,357.94,569506,356.86,358.435,350.01
4/25/2019,353.7,397573,355.32,355.3424,348.54
4/24/2019,355.84,444169,351.33,357.91,351.33
4/23/2019,351.63,556517,347.72,355.855,347.49
