date,close,volume,open,high,low
,,,,,
8/16/2019,32.72,13561280,31.64,32.78,31.6
8/15/2019,31.65,20155700,32.1,32.15,31.11
8/14/2019,32.34,12761460,33.77,33.81,32.2
8/13/2019,34.63,11108320,34.1,35.76,33.86
8/12/2019,34.27,8030001,34.37,34.53,34.02
8/9/2019,34.53,7866620,35.21,35.29,34.25
8/8/2019,35.21,10805530,34.94,35.225,34.36
8/7/2019,34.74,12162690,34.62,35.01,33.94
8/6/2019,35.46,11639880,36.13,36.39,34.71
8/5/2019,35.99,10771560,36.69,36.8,35.9
8/2/2019,37.42,8738161,38.51,38.73,37.19
8/1/2019,38.51,13280360,39.38,39.45,38.07
7/31/2019,39.97,10673300,39.67,40.61,39.31
7/30/2019,39.55,9256517,38.99,39.76,38.585
7/29/2019,39.21,6549512,39.99,40,38.65
7/26/2019,40.01,6731096,39.9,40.31,39.68
7/25/2019,39.95,7701074,40.59,40.59,39.56
7/24/2019,40.33,10763440,39.64,40.69,39.58
7/23/2019,39.75,10610630,39.55,40.17,39.25
7/22/2019,39.49,10964140,39.12,39.76,38.62
7/19/2019,38.71,12811710,39.34,39.34,37.29
7/18/2019,38.78,13566240,38.19,38.78,37.96
7/17/2019,38.63,12523630,39.82,40.07,38.55
7/16/2019,40.07,9257273,40.35,40.76,39.88
7/15/2019,40.47,6903792,40.85,41,40.335
7/12/2019,40.81,6788162,41.11,41.4,40.7
7/11/2019,40.97,9695469,40.6,41,40.07
7/10/2019,40.62,7003291,40.61,40.89,40.29
7/9/2019,40.2,8699200,39.78,40.22,39.55
7/8/2019,39.89,10899220,39.43,40.1,39.28
7/5/2019,39.57,5885471,39.2,39.6,39.08
7/3/2019,39.49,4954508,39.14,39.51,38.9025
7/2/2019,39.18,8732549,39.44,39.44,38.63
7/1/2019,39.32,13081010,40.42,40.63,39.26
6/28/2019,39.74,9742939,39.23,39.78,39.19
6/27/2019,39.11,6417860,39.18,39.35,38.85
6/26/2019,39.02,8362933,39.03,39.75,38.76
6/25/2019,38.58,7969071,38.58,38.74,38.1
6/24/2019,38.65,9348059,38.7,39.18,38.415
6/21/2019,38.88,16111600,38.36,38.91,38.08
6/20/2019,38.25,13067940,37.39,38.35,37.28
6/19/2019,36.51,10273280,37.1,37.13,36.3101
6/18/2019,36.93,10127380,36.69,37.38,36.54
6/17/2019,36.66,7574559,35.77,36.73,35.69
6/14/2019,35.93,11571860,36.67,36.7,35.64
6/13/2019,36.79,14336160,36.18,36.96,35.92
6/12/2019,35.58,12258900,36.8,36.8,35.5
6/11/2019,36.69,12121510,36.09,37.02,35.8
6/10/2019,35.47,12121010,35.81,36.22,35.38
6/7/2019,35.6,12881190,35.41,36.15,35.21
6/6/2019,35.05,12356120,34.93,35.57,34.655
6/5/2019,34.94,9098900,35.81,35.85,34.69
6/4/2019,35.73,8021259,35.51,35.98,35.16
6/3/2019,35.49,9878683,34.99,35.6499,34.8263
5/31/2019,34.69,11445560,34.72,34.94,34.46
5/30/2019,35.18,11763570,36.04,36.28,35.1165
5/29/2019,36.18,10072170,36,36.27,35.46
5/28/2019,36.5,11869640,37.1,37.13,36.44
5/24/2019,37,7665161,37.65,37.9,36.93
5/23/2019,37.49,12398920,37.53,37.53,36.8001
5/22/2019,38.34,7429948,39.16,39.26,38.01
5/21/2019,39.5,6716271,39.29,39.725,38.96
5/20/2019,39.12,5922616,38.83,39.16,38.66
5/17/2019,39.02,7252374,39.5,39.75,38.94
5/16/2019,39.86,7632559,39.59,40.01,39.47
